FID,field,Var1,Var2,value
163,54176,53.375000000000000,-126.375000000000000,1
164,54177,51.375000000000000,-126.375000000000000,1
165,54231,59.375000000000000,-126.125000000000000,1
166,54232,57.375000000000000,-126.125000000000000,1
167,54233,55.375000000000000,-126.125000000000000,1
168,54234,53.375000000000000,-126.125000000000000,1
169,54235,51.375000000000000,-126.125000000000000,1
170,54236,49.375000000000000,-126.125000000000000,1
171,54289,59.375000000000000,-125.875000000000000,1
172,54290,57.375000000000000,-125.875000000000000,1
173,54291,55.375000000000000,-125.875000000000000,1
174,54292,53.375000000000000,-125.875000000000000,1
175,54293,51.375000000000000,-125.875000000000000,1
176,54294,49.375000000000000,-125.875000000000000,1
177,54347,59.375000000000000,-125.625000000000000,1
178,54348,57.375000000000000,-125.625000000000000,1
179,54349,55.375000000000000,-125.625000000000000,1
180,54350,53.375000000000000,-125.625000000000000,1
181,54351,51.375000000000000,-125.625000000000000,1
182,54352,49.375000000000000,-125.625000000000000,1
183,54405,59.375000000000000,-125.375000000000000,1
184,54406,57.375000000000000,-125.375000000000000,1
185,54407,55.375000000000000,-125.375000000000000,1
186,54408,53.375000000000000,-125.375000000000000,1
187,54409,51.375000000000000,-125.375000000000000,1
188,54410,49.375000000000000,-125.375000000000000,1
189,54463,59.375000000000000,-125.125000000000000,1
190,54464,57.375000000000000,-125.125000000000000,1
191,54465,55.375000000000000,-125.125000000000000,1
192,54466,53.375000000000000,-125.125000000000000,1
193,54467,51.375000000000000,-125.125000000000000,1
194,54468,49.375000000000000,-125.125000000000000,1
195,54521,59.375000000000000,-124.875000000000000,1
196,54522,57.375000000000000,-124.875000000000000,1
197,54523,55.375000000000000,-124.875000000000000,1
198,54524,53.375000000000000,-124.875000000000000,1
199,54525,51.375000000000000,-124.875000000000000,1
200,54526,49.375000000000000,-124.875000000000000,1
201,54579,59.375000000000000,-124.625000000000000,1
202,54580,57.375000000000000,-124.625000000000000,1
203,54581,55.375000000000000,-124.625000000000000,1
204,54582,53.375000000000000,-124.625000000000000,1
205,54583,51.375000000000000,-124.625000000000000,1
206,54584,49.375000000000000,-124.625000000000000,1
207,54637,59.375000000000000,-124.375000000000000,1
208,54638,57.375000000000000,-124.375000000000000,1
209,54639,55.375000000000000,-124.375000000000000,1
210,54640,53.375000000000000,-124.375000000000000,1
211,54641,51.375000000000000,-124.375000000000000,1
212,54695,59.375000000000000,-124.125000000000000,1
213,54696,57.375000000000000,-124.125000000000000,1
214,54697,55.375000000000000,-124.125000000000000,1
215,54698,53.375000000000000,-124.125000000000000,1
216,54699,51.375000000000000,-124.125000000000000,1
217,54753,59.375000000000000,-123.875000000000000,1
218,54754,57.375000000000000,-123.875000000000000,1
219,54755,55.375000000000000,-123.875000000000000,1
220,54756,53.375000000000000,-123.875000000000000,1
221,54757,51.375000000000000,-123.875000000000000,1
222,54811,59.375000000000000,-123.625000000000000,1
223,54812,57.375000000000000,-123.625000000000000,1
224,54813,55.375000000000000,-123.625000000000000,1
225,54814,53.375000000000000,-123.625000000000000,1
226,54815,51.375000000000000,-123.625000000000000,1
227,54817,47.375000000000000,-123.625000000000000,1
228,54818,45.375000000000000,-123.625000000000000,1
229,54819,43.375000000000000,-123.625000000000000,1
230,54820,41.375000000000000,-123.625000000000000,1
231,54821,39.375000000000000,-123.625000000000000,1
232,54869,59.375000000000000,-123.375000000000000,1
233,54870,57.375000000000000,-123.375000000000000,1
234,54871,55.375000000000000,-123.375000000000000,1
235,54872,53.375000000000000,-123.375000000000000,1
236,54873,51.375000000000000,-123.375000000000000,1
237,54875,47.375000000000000,-123.375000000000000,1
238,54876,45.375000000000000,-123.375000000000000,1
239,54877,43.375000000000000,-123.375000000000000,1
240,54878,41.375000000000000,-123.375000000000000,1
241,54879,39.375000000000000,-123.375000000000000,1
242,54927,59.375000000000000,-123.125000000000000,1
243,54928,57.375000000000000,-123.125000000000000,1
244,54929,55.375000000000000,-123.125000000000000,1
245,54930,53.375000000000000,-123.125000000000000,1
246,54931,51.375000000000000,-123.125000000000000,1
247,54932,49.375000000000000,-123.125000000000000,1
248,54934,45.375000000000000,-123.125000000000000,1
249,54935,43.375000000000000,-123.125000000000000,1
250,54936,41.375000000000000,-123.125000000000000,1
251,54937,39.375000000000000,-123.125000000000000,1
252,54985,59.375000000000000,-122.875000000000000,1
253,54986,57.375000000000000,-122.875000000000000,1
254,54987,55.375000000000000,-122.875000000000000,1
255,54988,53.375000000000000,-122.875000000000000,1
256,54989,51.375000000000000,-122.875000000000000,1
257,54991,47.375000000000000,-122.875000000000000,1
258,54992,45.375000000000000,-122.875000000000000,1
259,54993,43.375000000000000,-122.875000000000000,1
260,54994,41.375000000000000,-122.875000000000000,1
261,54995,39.375000000000000,-122.875000000000000,1
262,55043,59.375000000000000,-122.625000000000000,1
263,55044,57.375000000000000,-122.625000000000000,1
264,55045,55.375000000000000,-122.625000000000000,1
265,55046,53.375000000000000,-122.625000000000000,1
266,55047,51.375000000000000,-122.625000000000000,1
267,55048,49.375000000000000,-122.625000000000000,1
268,55049,47.375000000000000,-122.625000000000000,1
269,55050,45.375000000000000,-122.625000000000000,1
270,55051,43.375000000000000,-122.625000000000000,1
271,55052,41.375000000000000,-122.625000000000000,1
272,55053,39.375000000000000,-122.625000000000000,1
273,55101,59.375000000000000,-122.375000000000000,1
274,55102,57.375000000000000,-122.375000000000000,1
275,55103,55.375000000000000,-122.375000000000000,1
276,55104,53.375000000000000,-122.375000000000000,1
277,55105,51.375000000000000,-122.375000000000000,1
278,55106,49.375000000000000,-122.375000000000000,1
279,55108,45.375000000000000,-122.375000000000000,1
280,55109,43.375000000000000,-122.375000000000000,1
281,55110,41.375000000000000,-122.375000000000000,1
282,55111,39.375000000000000,-122.375000000000000,1
283,55159,59.375000000000000,-122.125000000000000,1
284,55160,57.375000000000000,-122.125000000000000,1
285,55161,55.375000000000000,-122.125000000000000,1
286,55162,53.375000000000000,-122.125000000000000,1
287,55163,51.375000000000000,-122.125000000000000,1
288,55164,49.375000000000000,-122.125000000000000,1
289,55165,47.375000000000000,-122.125000000000000,1
290,55166,45.375000000000000,-122.125000000000000,1
